ds,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper
2016-01-02,130.07371694170945,128.6345343124219,131.5475132590133,130.4092962534722,130.4092962534722,130.4092962534722
2016-01-03,124.91834922199348,123.42425323379909,126.37687284988988,130.51623367105677,130.51623367105677,130.51623367105677
2016-01-04,125.44874317158398,124.0347319256543,126.84861705748202,130.62317108864133,130.62317108864133,130.62317108864133
2016-01-05,130.81058009380456,129.3736623842338,132.1875130730626,130.7301085062259,130.7301085062259,130.7301085062259
2016-01-06,131.1668118719372,129.67818917587798,132.5523260780218,130.83704592381045,130.83704592381045,130.83704592381045
2016-01-07,131.07807351306556,129.7279016224091,132.5648262470814,130.943983341395,130.943983341395,130.943983341395
2016-01-08,131.19622306906209,129.6213827429884,132.70656392158517,131.05092075897954,131.05092075897954,131.05092075897954
2016-01-09,130.88152673696558,129.43508905790986,132.34178954711632,131.15785817656413,131.15785817656413,131.15785817656413
2016-01-10,125.74215233286952,124.27060415979358,127.2233674402817,131.2647955941487,131.2647955941487,131.2647955941487
2016-01-11,126.32080680479494,124.87439622848211,127.70657136342398,131.37173301173323,131.37173301173323,131.37173301173323
2016-01-12,131.75713736838665,130.26516714202236,133.18366084126865,131.4786704293178,131.4786704293178,131.4786704293178
2016-01-13,131.94830962811926,130.5210898278658,133.5042376017436,131.58560784690235,131.58560784690235,131.58560784690235
2016-01-14,132.10530858132478,130.60865352961613,133.60735006993957,131.6925452644869,131.6925452644869,131.6925452644869
2016-01-15,132.25761463287142,130.90634420206518,133.64380460423143,131.79948268207147,131.79948268207147,131.79948268207147
2016-01-16,131.9694284096115,130.58332056032748,133.47311930714457,131.90642009965603,131.90642009965603,131.90642009965603
2016-01-17,126.82319078007218,125.42209896220355,128.25176621079274,132.01335751724056,132.01335751724056,132.01335751724056
2016-01-18,127.42120166383975,126.04268863251424,128.9235642476408,132.12029493482515,132.12029493482515,132.12029493482515
2016-01-19,132.89773855744755,131.39034947653815,134.30039436122829,132.2272323524097,132.2272323524097,132.2272323524097
2016-01-20,133.0922006977247,131.56779709828456,134.6615535281576,132.33416976999425,132.33416976999425,132.33416976999425
2016-01-21,133.24521144076604,131.86375593826475,134.64573402397713,132.4411071875788,132.4411071875788,132.4411071875788
2016-01-22,133.38653747937147,132.05671870682798,134.83580143074215,132.54804460516337,132.54804460516337,132.54804460516337
2016-01-23,133.078194352028,131.62292254475383,134.55951661084882,132.65498202274793,132.65498202274793,132.65498202274793
2016-01-24,127.8780296188852,126.39572596688149,129.30731084649224,132.7619194403325,132.7619194403325,132.7619194403325
2016-01-25,128.44907941926627,126.98282982467593,129.8154020244402,132.86885685791702,132.86885685791702,132.86885685791702
2016-01-26,133.9213737260888,132.4733693883181,135.29762154597879,132.97579427550158,132.97579427550158,132.97579427550158
2016-01-27,134.06967934201984,132.6199446903919,135.66281213726435,133.07485347097332,133.07485347097332,133.07485347097332
2016-01-28,134.1731858834046,132.70421558783326,135.6283704596125,133.17391266644506,133.17391266644506,133.17391266644506
2016-01-29,134.26283371013685,132.86979853610552,135.70751449571685,133.2729718619168,133.2729718619168,133.2729718619168
2016-01-30,133.89931461403384,132.4721034453265,135.32541572365773,133.37203105738854,133.37203105738854,133.37203105738854
2016-01-31,128.61788586260494,127.07000610619396,130.01155451779385,133.47109025286028,133.47109025286028,133.47109025286028
2016-02-01,129.13983231761645,127.7264873589262,130.60392023578083,133.57014944833205,133.57014944833205,133.57014944833205
2016-02-02,134.59053743889416,133.03991724360978,136.10102363068617,133.66920864380376,133.66920864380376,133.66920864380376
2016-02-03,134.7000625543198,133.22487023004143,136.161391180993,133.76826783927552,133.76826783927552,133.76826783927552
2016-02-04,134.76831787984966,133.28424738982005,136.175045811849,133.86732703474723,133.86732703474723,133.86732703474723
2016-02-05,134.8271168441682,133.28083860090948,136.16687824709365,133.966386230219,133.966386230219,133.966386230219
2016-02-06,134.4354461520438,133.0071598954089,135.93556617041952,134.06544542569074,134.06544542569074,134.06544542569074
2016-02-07,129.10580493125767,127.52010138880559,130.4676938481539,134.16450462116248,134.16450462116248,134.16450462116248
2016-02-08,129.6154687623441,128.16635332792578,131.04447608853005,134.26356381663422,134.26356381663422,134.26356381663422
2016-02-09,135.0853306561654,133.6340893640416,136.50859130118803,134.36262301210596,134.36262301210596,134.36262301210596
2016-02-10,135.19211003675136,133.73709210699178,136.76320882897568,134.4616822075777,134.4616822075777,134.4616822075777
2016-02-11,135.26302384858363,133.7398005811124,136.7787079328071,134.56074140304943,134.56074140304943,134.56074140304943
2016-02-12,135.329692447636,133.92409237676176,136.74094613051895,134.65980059852117,134.65980059852117,134.65980059852117
2016-02-13,134.9483252142021,133.49112842169637,136.39453146998758,134.7588597939929,134.7588597939929,134.7588597939929
2016-02-14,129.6076148282948,128.13400135076066,131.11276579354757,134.85791898946465,134.85791898946465,134.85791898946465
2016-02-15,130.13983239513672,128.67240171241153,131.64538988219334,134.9569781849364,134.9569781849364,134.9569781849364
2016-02-16,135.66046591494668,134.24873101951633,137.17757330103345,135.05603738040813,135.05603738040813,135.05603738040813
2016-02-17,135.79208405457152,134.41501992898355,137.3297459099735,135.15509657587987,135.15509657587987,135.15509657587987
2016-02-18,135.88852926956596,134.38499852220133,137.31310747376125,135.2541557713516,135.2541557713516,135.2541557713516
2016-02-19,135.98069342686412,134.55916351773075,137.4031803637088,135.35321496682334,135.35321496682334,135.35321496682334
2016-02-20,135.5918016389239,134.11726113529403,137.01505596331145,135.42248018933577,135.42248018933577,135.42248018933577
2016-02-21,130.21875810074104,128.79021903312002,131.6875453987235,135.4917454118482,135.4917454118482,135.4917454118482
2016-02-22,130.74490266918644,129.2896483774889,132.22970981791235,135.56101063436063,135.56101063436063,135.56101063436063
2016-02-23,136.27735669899243,134.81694026786607,137.75017239696484,135.63027585687306,135.63027585687306,135.63027585687306
2016-02-24,136.3929961737925,134.85754510061528,137.8195723753036,135.69954107938545,135.69954107938545,135.69954107938545
2016-02-25,136.46923211438846,135.06421295367952,137.9472233705267,135.7688063018979,135.7688063018979,135.7688063018979
2016-02-26,136.53681094741194,135.1554678440171,137.98115390245565,135.83807152441034,135.83807152441034,135.83807152441034
2016-02-27,136.14715546025832,134.72522766306642,137.54249419076652,135.90733674692274,135.90733674692274,135.90733674692274
2016-02-28,130.75102974228196,129.21913096210213,132.28531945918658,135.97660196943517,135.97660196943517,135.97660196943517
2016-02-29,131.27088526959554,129.84852122960908,132.78699106838124,136.0458671919476,136.0458671919476,136.0458671919476
2016-03-02,136.91115826618798,135.4359217251985,138.37368334419892,136.18439763697245,136.18439763697245,136.18439763697245
2016-03-03,136.96879616664185,135.4937599476149,138.4363653016712,136.25366285948485,136.25366285948485,136.25366285948485
2016-03-04,137.0153271374175,135.55931245484368,138.4364849271442,136.3229280819973,136.3229280819973,136.3229280819973
2016-03-05,136.6012913826448,135.09422233290118,138.1180577556042,136.3921933045097,136.3921933045097,136.3921933045097
2016-03-06,131.16200679331575,129.72857090128468,132.63223390139362,136.46145852702213,136.46145852702213,136.46145852702213
2016-03-07,131.65968239246536,130.24286787336442,133.11997498935375,136.53072374953456,136.53072374953456,136.53072374953456
2016-03-08,137.19609927904975,135.88049624547145,138.65544412307815,136.599988972047,136.599988972047,136.599988972047
2016-03-09,137.27481347159255,135.784995056503,138.78730806125117,136.66925419455941,136.66925419455941,136.66925419455941
2016-03-10,137.3129936306704,135.8538673371523,138.80331612631517,136.73851941707184,136.73851941707184,136.73851941707184
2016-03-11,137.34292828060572,135.88701549479455,138.77123246393592,136.80778463958424,136.80778463958424,136.80778463958424
2016-03-12,136.91415178653975,135.4162441353484,138.35310740244722,136.8770498620967,136.8770498620967,136.8770498620967
2016-03-13,131.44625154798942,129.9901910987835,132.9860321890106,136.9463150846091,136.9463150846091,136.9463150846091
2016-03-14,131.94075767702836,130.52594723095189,133.51815244609801,137.01558030712152,137.01558030712152,137.01558030712152
2016-03-15,137.49646230331805,135.9280046489793,138.97565400729158,137.08484552963395,137.08484552963395,137.08484552963395
2016-03-16,137.55008356092358,136.09032985254922,139.08318483247362,137.1245387246931,137.1245387246931,137.1245387246931
2016-03-17,137.5676488832534,136.08836536909772,139.0213192871839,137.16423191975227,137.16423191975227,137.16423191975227
2016-03-18,137.58136882597373,136.10028610585067,139.095123565136,137.20392511481143,137.20392511481143,137.20392511481143
2016-03-19,137.1392420596737,135.67703740848447,138.68122495772056,137.24361830987056,137.24361830987056,137.24361830987056
2016-03-20,131.6494219051984,130.1473413863031,133.15304673641683,137.2833115049297,137.2833115049297,137.2833115049297
2016-03-21,132.14082910108976,130.5913105441366,133.42646164450485,137.32300469998887,137.32300469998887,137.32300469998887
2016-03-22,137.70587540184792,136.24944691086995,139.20725820494127,137.36269789504803,137.36269789504803,137.36269789504803
2016-03-23,137.78783814385088,136.29859965611848,139.23015635923946,137.4023910901072,137.4023910901072,137.4023910901072
2016-03-24,137.75059601698615,136.40183894070768,139.17503228435004,137.44208428516632,137.44208428516632,137.44208428516632
2016-03-25,138.36830389979687,136.8685629613795,139.9127568986579,137.48177748022547,137.48177748022547,137.48177748022547
2016-03-26,137.462455154986,135.99746944755717,138.88634806324066,137.52147067528463,137.52147067528463,137.52147067528463
2016-03-27,131.98806144015646,130.53955604444658,133.47979538319456,137.5611638703438,137.5611638703438,137.5611638703438
2016-03-28,132.50457737924648,131.14163745861424,133.89366067944783,137.60085706540295,137.60085706540295,137.60085706540295
2016-03-29,138.10187101079566,136.64245939730134,139.50152361304015,137.6405502604621,137.6405502604621,137.6405502604621
2016-03-30,138.20125746933223,136.71285293466534,139.61192552779616,137.68024345552126,137.68024345552126,137.68024345552126
2016-03-31,138.2610388231597,136.8862383810261,139.71581242773505,137.7199366505804,137.7199366505804,137.7199366505804
2016-04-01,138.31235594469973,136.76261420914358,139.78588138191546,137.75962984563955,137.75962984563955,137.75962984563955
2016-04-02,137.90031179965507,136.47342866348282,139.3234405311368,137.7993230406987,137.7993230406987,137.7993230406987
2016-04-03,132.41357695521657,130.92744089387708,133.87434021358064,137.83901623575787,137.83901623575787,137.83901623575787
2016-04-04,132.92502059127176,131.513804156959,134.34791373079335,137.87870943081703,137.87870943081703,137.87870943081703
2016-04-05,138.5228820200106,137.10309058163406,140.01489864728185,137.91840262587615,137.91840262587615,137.91840262587615
2016-04-06,138.60748258584007,137.06266828165337,140.13451245609994,137.9580958209353,137.9580958209353,137.9580958209353
2016-04-07,138.6486453165624,137.18348466426255,140.1400012880509,137.99778901599447,137.99778901599447,137.99778901599447
2016-04-08,138.67819448859444,137.19557481104064,140.1558052913109,138.03748221105363,138.03748221105363,138.03748221105363
2016-04-09,138.23374734035968,136.75761389036225,139.65421743629142,138.06989127390779,138.06989127390779,138.06989127390779
2016-04-10,132.70336649208494,131.21323019285325,134.12804995029512,138.10230033676197,138.10230033676197,138.10230033676197
2016-04-11,133.18215903770943,131.67560832633276,134.62572561954033,138.13470939961616,138.13470939961616,138.13470939961616
2016-04-12,138.7566589467734,137.32617082108496,140.24425861135728,138.16711846247034,138.16711846247034,138.16711846247034
2016-04-13,138.80872959966504,137.2812276279515,140.17163594001508,138.1995275253245,138.1995275253245,138.1995275253245
2016-04-14,138.8192406075681,137.42260243214253,140.36194044081012,138.23193658817868,138.23193658817868,138.23193658817868
2016-04-15,138.8209102438283,137.39076567376907,140.30982224422294,138.26434565103284,138.26434565103284,138.26434565103284
2016-04-16,138.35868601539124,136.9274997368956,139.72286126056653,138.29675471388703,138.29675471388703,138.29675471388703
2016-04-17,132.80638386993434,131.41273684412965,134.26151075886565,138.3291637767412,138.3291637767412,138.3291637767412
2016-04-18,133.27787618230187,131.8076619945228,134.66069110044262,138.3615728395954,138.3615728395954,138.3615728395954
2016-04-19,138.85858699402027,137.4274138044627,140.3857095265048,138.39398190244955,138.39398190244955,138.39398190244955
2016-04-20,138.9131847763927,137.4204673326719,140.36446355328843,138.42639096530374,138.42639096530374,138.42639096530374
2016-04-21,138.93161577926372,137.5666616952024,140.4532987652954,138.4588000281579,138.4588000281579,138.4588000281579
2016-04-22,138.94655506720875,137.44591904886917,140.32947517828734,138.49120909101208,138.49120909101208,138.49120909101208
2016-04-23,138.50193360423987,137.04560857891795,139.9717241805552,138.52361815386627,138.52361815386627,138.52361815386627
2016-04-24,132.96354157768377,131.48095874098195,134.49645051657527,138.55602721672045,138.55602721672045,138.55602721672045
2016-04-25,133.46288058804078,132.0962529322285,134.9184520106584,138.5884362795746,138.5884362795746,138.5884362795746
2016-04-26,139.0831227062613,137.59054536268286,140.5698125597438,138.6208453424288,138.6208453424288,138.6208453424288
2016-04-27,139.17062665340436,137.6578723308662,140.63753860871194,138.65325440528295,138.65325440528295,138.65325440528295
2016-04-28,139.2233606448868,137.8003234751771,140.6966315840387,138.68566346813714,138.68566346813714,138.68566346813714
2016-04-29,139.2729938574928,137.85326601056659,140.73462296221368,138.71807253099132,138.71807253099132,138.71807253099132
2016-04-30,138.86159981716108,137.3801444754146,140.30405881392355,138.7504815938455,138.7504815938455,138.7504815938455
2016-05-01,133.34625074685326,131.8314476733823,134.80108096924405,138.78289065669966,138.78289065669966,138.78289065669966
2016-05-02,132.88670919819367,131.40038271460884,134.430819279736,138.81529971955385,138.81529971955385,138.81529971955385
2016-05-03,139.5274776313549,138.00752254301025,140.9651851837887,138.84508939347603,138.84508939347603,138.84508939347603
2016-05-04,139.63256585430543,138.1889068241483,141.10148141652627,138.87487906739818,138.87487906739818,138.87487906739818
2016-05-05,139.69690331899304,138.14823862114423,141.04635088412056,138.90466874132036,138.90466874132036,138.90466874132036
2016-05-06,139.75145875130505,138.31553246419918,141.21979163162817,138.93445841524255,138.93445841524255,138.93445841524255
2016-05-07,139.337011260591,137.86942582548608,140.77792487919064,138.9642480891647,138.9642480891647,138.9642480891647
2016-05-08,133.80319173793515,132.4168480526606,135.25938526622537,138.99403776308688,138.99403776308688,138.99403776308688
2016-05-09,134.3154513116349,132.81420563837068,135.75008584899848,139.02382743700906,139.02382743700906,139.02382743700906
2016-05-10,139.95268336397805,138.4030212553655,141.4061092800725,139.05361711093124,139.05361711093124,139.05361711093124
